logged_at,schema_version,kind,engine,run_id,run_id_short,spec_source,scenario_title,scenario_source,pair_key,trials,wins_attacker,wins_defender,draws,no_result,attacker_win_rate,defender_win_rate,draw_rate,no_result_rate,avg_time,attacker_pos,defender_pos,encounter_type,defender_count,a_name,a_level,a_hp,a_atk,a_role,a_cost,a_range,a_attack_speed,a_move_speed,a_target_type,a_attack_type,a_hp_per_level,a_atk_per_level,d_name,d_level,d_hp,d_atk,d_role,d_cost,d_range,d_attack_speed,d_move_speed,d_target_type,d_attack_type,d_hp_per_level,d_atk_per_level,a_dps,d_dps,a_ttk_est,d_ttk_est,dps_adv,range_adv,ttk_adv,label_majority_winner,label_attacker_better
2025-12-18T21:16:44,v1,scenario_preset,run_duel_trials_2d,e68c9b7b-a35e-4080-b261-033dbefe575b,e68c9b7b,scenario_spec,시나리오 1: Knight vs Goblin 1:1,battle_scenarios_01.md,Knight__vs__Goblin__duel__x1,100,100,0,0,0,1.0,0.0,0.0,0.0,5.0,"[0.0, 0.0]","[5.0, 0.0]",duel,1,Knight,1,200,25,defender,0,1,1.0,1.0,ground,melee,30,5,Goblin,1,100,15,ground,0,1,1.2,1.2,ground,melee,30,5,25.0,18.0,4.0,11.11111111111111,7.0,0.0,7.111111111111111,attacker,1
2025-12-18T21:16:56,v1,scenario_preset,run_duel_trials_2d,cbf9f092-2558-4d58-a2aa-68ad7e760a02,cbf9f092,scenario_spec,시나리오 2: AntiAirTower vs Wyvern 1:1,battle_scenarios_02.md,AntiAirTower__vs__Wyvern__duel__x1,100,100,0,0,0,1.0,0.0,0.0,0.0,7.499999999999992,"[0.0, 0.0]","[6.0, 0.0]",duel,1,AntiAirTower,1,150,40,tower,0,4,0.8,0.0,air,ranged,30,5,Wyvern,1,180,30,air_enemy,0,1,1.0,1.5,tower,melee,30,5,32.0,30.0,5.625,5.0,2.0,3.0,-0.625,attacker,1
2025-12-18T21:17:03,v1,scenario_preset,run_duel_trials_2d,a0a050e0-ca69-425d-84a5-45f40c17165b,a0a050e0,scenario_spec,시나리오 3: Assassin vs Giant 1:1,battle_scenarios_03.md,Assassin__vs__Giant__duel__x1,100,0,100,0,0,0.0,1.0,0.0,0.0,3.333333333333332,"[0.0, 0.0]","[4.0, 0.0]",duel,1,Assassin,1,80,35,ground,0,1,1.8,1.8,ground,melee,30,5,Giant,1,300,60,ground,0,1,0.6,0.6,ground,melee,30,5,63.0,36.0,4.761904761904762,2.2222222222222223,27.0,0.0,-2.5396825396825395,defender,0
2025-12-23T19:50:25,v1,scenario_preset,run_duel_trials_2d,864675c4-b7e2-4265-9a96-3d2f4ce19d99,864675c4,units_ssot,D1: Knight vs Goblin (duel),battle_scenarios_duel.md,Knight__vs__Goblin__duel__x1,200,200,0,0,0,1.0,0.0,0.0,0.0,6.0,"[0.0, 0.0]","[5.0, 0.0]",duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Goblin,1,60,8,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,15.0,10.4,4.0,11.538461538461538,4.6,0.0,7.538461538461538,attacker,1
2025-12-23T19:50:30,v1,scenario_preset,run_duel_trials_2d,a22c1fc2-8da8-48c4-a756-ca187ebe63a5,a22c1fc2,units_ssot,D2: Archer vs Runner (duel),battle_scenarios_duel.md,Archer__vs__Runner__duel__x1,200,200,0,0,0,1.0,0.0,0.0,0.0,1.6666666666666683,"[0.0, 0.0]","[6.0, 0.0]",duel,1,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,Runner,1,40,6,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,24.0,9.0,1.6666666666666667,8.88888888888889,15.0,3.0,7.222222222222222,attacker,1
2025-12-23T19:50:35,v1,scenario_preset,run_duel_trials_2d,6f63ba2e-6f56-4846-9980-a1e894701e3e,6f63ba2e,units_ssot,D3: AntiAir Tower vs Wyvern (duel),battle_scenarios_duel.md,AntiAir Tower__vs__Wyvern__duel__x1,200,200,0,0,0,1.0,0.0,0.0,0.0,5.999999999999997,"[0.0, 0.0]","[7.0, 0.0]",duel,1,AntiAir Tower,1,90,22,tower,130,5,1.0,0.0,air,ranged,25,6,Wyvern,1,90,14,air_enemy,110,1,1.0,2.0,tower,melee,30,4,22.0,14.0,4.090909090909091,6.428571428571429,8.0,4.0,2.337662337662338,attacker,1
2025-12-23T19:50:41,v1,scenario_preset,run_duel_trials_2d,9c4ad10f-bae0-4909-9d87-acca41ae4a07,9c4ad10f,units_ssot,D4: Mage vs Armored Orc (duel),battle_scenarios_duel.md,Mage__vs__Armored Orc__duel__x1,200,200,0,0,0,1.0,0.0,0.0,0.0,11.111111111111107,"[0.0, 0.0]","[5.5, 0.0]",duel,1,Mage,1,70,25,tower,120,3,0.9,0.0,ground,magic,20,7,Armored Orc,1,180,12,ground_enemy,90,1,0.8,1.0,tower,melee,40,4,22.5,9.600000000000001,8.0,7.291666666666665,12.899999999999999,2.0,-0.7083333333333348,attacker,1
2025-12-23T19:50:48,v1,scenario_preset,run_duel_trials_2d,26772022-42c2-486b-ba26-416d2eb5f18c,26772022,units_ssot,D5: Tank vs Ogre Boss (duel),battle_scenarios_duel.md,Tank__vs__Ogre Boss__duel__x1,200,0,200,0,0,0.0,1.0,0.0,0.0,19.999999999999996,"[0.0, 0.0]","[4.5, 0.0]",duel,1,Tank,1,200,10,tower,150,1,0.7,0.0,ground,melee,40,3,Ogre Boss,1,400,20,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,7.0,12.0,57.142857142857146,16.666666666666668,-5.0,0.0,-40.47619047619048,defender,0
2025-12-23T19:51:03,v1,scenario_preset,run_swarm_trials_2d,efa84a21-90c3-4d1a-8d19-7f0bafb24b4d,efa84a21,units_ssot,S1: Knight vs Goblin x4 (swarm),battle_scenarios_swarm.md,Knight__vs__Goblin x4__swarm__x4,200,0,200,0,0,0.0,1.0,0.0,0.0,4.615384615384634,"[0.0, 0.0]","[5.0, 0.0]",swarm,4,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Goblin x4,1,240,32,ground_enemy,160,1,1.3,1.8,tower,melee,20,3,15.0,41.6,16.0,2.8846153846153846,-26.6,0.0,-13.115384615384615,defender,0
2025-12-23T19:51:15,v1,scenario_preset,run_swarm_trials_2d,122a3161-59bd-4aa1-90bb-cc8b71486574,122a3161,units_ssot,S2: AntiAir Tower vs Wyvern x3 (swarm),battle_scenarios_swarm.md,AntiAir Tower__vs__Wyvern x3__swarm__x3,200,0,200,0,0,0.0,1.0,0.0,0.0,5.999999999999997,"[0.0, 0.0]","[7.0, 0.0]",swarm,3,AntiAir Tower,1,90,22,tower,130,5,1.0,0.0,air,ranged,25,6,Wyvern x3,1,270,42,air_enemy,330,1,1.0,2.0,tower,melee,30,4,22.0,42.0,12.272727272727273,2.142857142857143,-20.0,4.0,-10.129870129870131,defender,0
2025-12-23T19:51:20,v1,scenario_preset,run_swarm_trials_2d,0e74d912-9391-4172-8bbd-f1307e554282,0e74d912,units_ssot,S3: Mage vs Runner x5 (swarm),battle_scenarios_swarm.md,Mage__vs__Runner x5__swarm__x5,200,0,200,0,0,0.0,1.0,0.0,0.0,3.9999999999999996,"[0.0, 0.0]","[6.0, 0.0]",swarm,5,Mage,1,70,25,tower,120,3,0.9,0.0,ground,magic,20,7,Runner x5,1,200,30,ground_enemy,175,1,1.5,2.5,tower,melee,15,2,22.5,45.0,8.88888888888889,1.5555555555555556,-22.5,2.0,-7.333333333333334,defender,0
2025-12-23T19:51:27,v1,scenario_preset,run_swarm_trials_2d,061303a4-b053-445a-8a87-1b33675971cb,061303a4,units_ssot,S4: Archer vs Goblin x6 (swarm),battle_scenarios_swarm.md,Archer__vs__Goblin x6__swarm__x6,200,0,200,0,0,0.0,1.0,0.0,0.0,4.615384615384634,"[0.0, 0.0]","[7.0, 0.0]",swarm,6,Archer,1,80,20,tower,100,4,1.2,0.0,both,ranged,25,6,Goblin x6,1,360,48,ground_enemy,240,1,1.3,1.8,tower,melee,20,3,24.0,62.400000000000006,15.0,1.282051282051282,-38.400000000000006,3.0,-13.717948717948719,defender,0
